ID;x;y;C;N;E;S;W
1;492091.7886;7660171.095;7;7;7;7;7
2;492086.5915;7660223.775;3;3;3;3;3
3;492080.7785;7660270.725;7;3;3;7;7
4;492076.3423;7660320.633;7;7;7;7;7
5;492072.5092;7660369.819;7;7;7;7;7
6;492065.4251;7660422.401;3;3;3;3;3
7;492061.2352;7660468.161;3;3;7;7;3
8;492056.5409;7660518.99;3;3;3;3;3
9;492053.5525;7660567.682;3;3;3;3;3
10;492046.3178;7660618.941;3;3;3;3;3
11;492042.1126;7660669.176;3;3;3;3;87
12;492032.6228;7660715.057;7;3;3;7;3
13;492029.7648;7660768.717;3;12;23;3;75
14;492025.6187;7660820.074;22;71;71;24;23
15;492019.8518;7660868.151;23;23;23;22;23
16;492024.0993;7660919.936;22;22;23;22;21
17;492012.1259;7660967.495;22;23;22;60;22
18;492005.8834;7661015.282;23;23;22;23;23
19;492001.7163;7661066.297;22;23;23;21;21
20;491995.9751;7661116.531;23;22;24;23;22
21;491992.0485;7661164.355;22;22;23;23;23
22;491987.2434;7661214.867;23;23;23;23;23
23;491981.8547;7661263.19;12;24;23;23;24
24;491977.6817;7661312.39;23;23;23;23;23
25;491972.6377;7661365.536;22;23;23;23;23
26;491968.0234;7661413.068;24;29;12;23;23
27;491962.9796;7661464.455;31;80;80;23;31
28;491958.3568;7661512.749;22;23;23;22;22
29;491951.5938;7661562.013;22;22;23;23;22
30;491947.862;7661611.771;12;12;12;23;23
31;491943.5601;7661661.864;22;23;23;22;22
32;491938.3745;7661710.349;23;12;12;12;12
33;491934.4236;7661760.788;23;23;22;23;23
34;491930.3399;7661814.881;22;23;82;23;12
35;491923.1348;7661862.258;24;24;24;23;24
36;491917.3593;7661910.598;81;81;23;23;24
37;491915.594;7661960.17;23;22;23;82;81
38;491908.9102;7662010.37;1;1;1;1;1
39;491902.5464;7662060.458;2;1;2;2;2
40;491897.0218;7662111.165;81;22;81;23;23
41;492138.1119;7660177.824;3;3;3;3;3
42;492131.7238;7660226.925;3;3;3;3;3
43;492127.7514;7660274.824;3;3;3;3;3
44;492123.5554;7660325.445;7;7;7;7;7
45;492120.8868;7660373.736;3;3;3;3;3
46;492116.2367;7660422.167;3;3;3;3;3
47;492112.8296;7660473.72;7;3;3;3;7
48;492110.352;7660519.182;3;3;3;3;3
49;492097.6347;7660573.665;23;3;23;3;3
50;492093.3002;7660625.331;12;12;24;3;3
51;492088.9033;7660672.462;24;24;23;24;23
52;492085.0513;7660724.103;12;24;24;24;24
53;492081.5978;7660774.235;23;23;23;23;23
54;492075.1125;7660823.035;23;25;23;23;23
55;492070.6256;7660875.051;24;24;22;24;25
56;492065.5962;7660922.153;23;81;81;24;23
57;492060.7768;7660971.672;23;23;23;23;23
58;492055.51;7661021.731;23;23;22;23;23
59;492052.2563;7661069.494;83;23;22;23;23
60;492046.3256;7661120.42;24;24;23;24;23
61;492041.3066;7661171.462;82;82;23;23;24
62;492035.4476;7661221.555;23;23;23;23;23
63;492029.8399;7661270.342;12;23;23;23;23
64;492024.6323;7661319.999;22;22;23;23;23
65;492021.9944;7661369.711;31;83;83;12;12
66;492025.2139;7661429.851;29;12;12;12;31
67;492008.8381;7661469.523;83;83;83;83;83
68;492005.5172;7661517.569;22;23;12;23;23
69;492000.1583;7661566.437;24;24;12;24;24
70;491998.6329;7661616.568;24;22;22;24;23
71;491991.3529;7661667.637;22;23;23;23;23
72;491986.1492;7661717.46;12;23;24;23;23
73;491983.5036;7661769.463;23;23;81;23;81
74;491976.8628;7661816.323;22;23;82;22;22
75;491970.4906;7661866.934;23;23;23;23;23
76;491964.6553;7661918.04;24;24;75;29;29
77;491963.586;7661966.271;81;24;23;23;23
78;491957.0874;7662018.515;81;23;23;23;23
79;491953.3491;7662067.177;NA;NA;NA;NA;NA
80;491948.9007;7662113.081;12;23;23;23;23
81;492188.7606;7660183.428;7;7;7;3;7
82;492183.6802;7660232.28;75;75;75;75;75
83;492176.9231;7660283.945;3;3;3;75;3
84;492173.9182;7660331.727;75;75;75;75;75
85;492166.0872;7660382.062;3;3;3;3;3
86;492161.7307;7660429.517;3;3;12;3;3
87;492156.6725;7660479.667;3;3;3;3;3
88;492150.8228;7660529.698;22;22;22;12;12
89;492146.9327;7660581.34;23;23;23;23;24
90;492145.4081;7660636.152;22;22;23;23;23
91;492137.6413;7660682.24;22;23;22;23;23
92;492132.3935;7660731.376;23;22;23;23;22
93;492127.395;7660780.397;23;23;23;22;22
94;492125.107;7660828.965;22;22;22;75;22
95;492118.2328;7660880.517;22;22;22;22;22
96;492108.6571;7660929.16;23;23;24;30;23
97;492108.5998;7660978.766;23;24;23;23;23
98;492103.4373;7661028.995;23;23;23;23;23
99;492097.5681;7661075.803;23;81;22;23;22
100;492094.2141;7661125.872;25;23;23;23;25
101;492088.619;7661174.737;22;22;23;22;23
102;492084.5953;7661223.964;12;23;23;23;23
103;492081.1879;7661276.182;23;12;12;23;23
104;492074.8526;7661323.498;80;83;80;12;12
105;492070.9613;7661372.625;84;12;84;12;84
106;492065.4137;7661420.505;23;23;24;23;23
107;492060.4856;7661472.504;22;23;22;83;23
108;492055.6415;7661520.702;81;81;22;22;22
109;492050.6533;7661570.414;23;23;23;22;22
110;492045.7557;7661622.079;22;23;23;23;22
