"plot","Northing_CO2","Northing_DOC","Northing_GHG","Easting_CO2","Easting_DOC","Easting_GHG","Comment_CO2","Comment_DOC","Comment_GHG"
19,7673545.30278,7673546.2394,7673544.50638,253050.59604,253051.87486,253051.32278,NA,NA,NA
25,7673853.4703,7673852.7916,7673852.54821,253046.7334,253050.03922,253051.44783,NA,NA,NA
31,7674149.23684,7674149.19889,7674149.72809,253048.32731,253049.90664,253048.34186,NA,NA,NA
37,7674445.803,7674444.98345,7674447.0285,253053.25645,253054.22738,253053.22546,NA,NA,NA
91,7673155.39547,7673154.42337,7673155.39547,253147.19384,253145.65537,253147.19384,NA,NA," inaccurate"
97,7673455.00732,7673455.51226,7673453.00558,253145.89142,253146.25181,253145.22979,NA,NA,NA
103,7673751.03215,7673752.41987,7673751.38081,253150.30227,253151.05025,253150.14706,NA,NA,NA
109,7674043.92221,7674042.9476,7674044.12009,253151.62966,253150.21208,253152.11298,NA,NA,NA
115,7674346.37628,NA,7674344.89674,253143.7141,NA,253144.35071,NA,NA,NA
181,7673651.7865,7673653.56226,7673652.69715,253246.95847,253247.46916,253246.78815,NA,NA,NA
187,7673949.21153,7673949.75628,7673949.90394,253248.61187,253247.22785,253247.85534,NA,NA,NA
193,7674244.0106,7674243.00827,7674244.97641,253247.06797,253245.66387,253245.90278,NA,NA,NA
199,7674551.32554,7674546.91926,7674552.36331,253247.62486,253249.16604,253246.67007,"inaccurate","inaccurate","inaccurate"
247,7672948.18225,7672949.15942,7672947.79306,253352.83061,253353.26759,253352.63358,NA,NA,"inaccurate"
253,7673246.24193,NA,NA,253350.42523,NA,NA,NA,NA,NA
259,7673549.32524,NA,NA,253345.30536,NA,NA,NA,NA,NA
265,7673846.76318,7673847.94792,7673846.43731,253356.44668,253355.39548,253356.69392,NA,NA,NA
271,7674146.57478,NA,7674146.03442,253347.79861,NA,253348.22447,NA,NA,NA
277,7674451.9959,7674449.64406,7674452.4924,253347.9987,253347.72058,253347.77871,NA,NA,NA
325,7672851.91153,7672852.52961,7672852.82585,253437.17647,253439.04186,253438.56549,NA,NA,NA
331,7673153.33452,NA,NA,253453.93983,NA,NA,NA,NA,NA
349,7674047.38253,7674051.89565,7674047.59335,253452.55532,253447.5486,253452.24158,NA,NA,NA
355,7674346.32906,7674347.72402,7674346.73406,253450.7775,253450.12796,253451.00218,NA,NA,NA
367,7672948.66796,NA,NA,253499.92449,NA,NA,NA,NA,NA
388,7674000.14348,7674000.04123,7673999.8135,253494.81467,253495.51095,253495.23423,NA,NA,NA
403,7672755.77518,7672756.22437,7672755.68489,253548.51033,253549.37561,253547.9691,NA,NA,NA
409,7673053.88211,NA,NA,253548.62831,NA,NA,"inaccurate",NA,NA
415,7673353.38991,NA,NA,253549.52781,NA,NA,NA,NA,NA
421,7673653.24374,7673650.77725,7673652.61468,253553.54148,253553.96785,253553.65927,NA,NA,NA
427,7673949.00981,7673949.35257,7673948.78818,253550.4573,253549.42812,253549.92968,NA,NA,NA
433,7674253.92969,7674254.25974,7674254.39537,253549.08221,253547.18085,253549.30015,NA,NA,NA
439,7674542.24382,7674543.34408,7674544.34228,253549.93133,253550.80338,253548.62312,NA,NA,NA
445,7672856.77892,NA,NA,253594.38946,NA,NA,NA,NA,NA
481,7672652.62752,7672653.8319,7672653.38034,253653.30073,253652.44568,253651.70096,NA,NA,NA
487,7672943.99894,NA,NA,253649.71192,NA,NA,NA,NA,NA
493,7673246.97295,NA,NA,253646.52611,NA,NA,NA,NA,NA
499,7673547.6989,NA,NA,253647.40101,NA,NA,NA,NA,NA
505,7673847.58387,7673850.21417,7673847.84735,253654.49708,253653.08763,253654.20366,NA,NA,NA
511,7674150.09972,7674143.63864,7674150.58644,253650.83321,253648.14731,253650.34183,NA,NA,NA
517,7674437.24196,7674436.36169,7674441.35571,253648.6307,253646.70794,253647.46349,NA,NA,NA
523,7672744.71299,NA,7672745.58001,253697.16725,NA,253697.55243,"inaccurate",NA,"inaccurate"
565,7672846.8657,NA,NA,253746.7862,NA,NA,"inaccurate",NA,NA
571,7673144.08238,NA,NA,253744.43236,NA,NA,NA,NA,NA
577,7673452.79132,7673452.85867,7673451.16188,253748.63436,253740.99009,253744.20385,NA,NA,NA
583,7673740.99532,NA,NA,253745.99593,NA,NA,NA,NA,NA
589,7674043.86738,7674042.92787,7674043.49742,253747.82702,253747.33868,253747.985,NA,NA,NA
595,7674344.23478,7674345.19778,7674343.9091,253750.83548,253744.47157,253751.24421,NA,NA,NA
607,7672950.35351,7672951.35884,7672953.97554,253797.93028,253798.73785,253795.46982,NA,NA,NA
643,7672748.02229,NA,NA,253845.98864,NA,NA,"inaccurate",NA,NA
649,7673053.9019,NA,NA,253853.02512,NA,NA,NA,NA,NA
655,7673353.02578,NA,NA,253847.65428,NA,NA,NA,NA,NA
661,7673647.89184,NA,NA,253850.7062,NA,NA,NA,NA,NA
