plot;image_nr;cavm;cavm notes;image notes;;;;;Classes;;
325;6991;g;;GHG image number from exif camera data;;;;;b;Barren;<10 % plants
247;6989;g;;GHG image number from exif camera data;;;;;g;Graminoid;Also meadows, forb-dominated nivations
403;6994;g;not fully developed;GHG image number from exif camera data;;;;;p;Prostrate shrubs;Dryas, Cassiope, Loiseleuria, small Salix
11201;7001;es;also some cassiope but not much;GHG image number from exif camera data;;;;;ds;Erect shrub: deciduous;Betula nana, Salix, Vaccinium myrtillus, Vaccinium uliginosum
481;6999;es;;GHG image number from exif camera data;;;;;es;Erect shrub: evergreen;Empetrum, Phyllodoce, juniperus, Vaccinium vitis-idaea
11203;7004;es;originally p;GHG image number from exif camera data;;;;;w;Wetland;If hesitant between graminoid and wetland, I chose wetland if I saw Sphagnum or some other wetland species (Eriophorum)
11202;7000;b;;GHG image number from exif camera data;;;;;;;
11208;7020;es;;GHG image number from exif camera data;;;;;prostrate was merged with es because there were only 2 obs.;;
11207;7015;es;;GHG image number from exif camera data;;;;;difficult: dry moss-myrtillus, very mossy without graminoids/forbs/shrubs;;
11204;7005;g;tricky. Mossy plot.;GHG image number from exif camera data;;;;;;;
11205;7014;es;originally p;GHG image number from exif camera data;;;;;;;
91;7072;es;also some ds;GHG image number from exif camera data;;;;;;;
97;7074;ds;;GHG image number from exif camera data;;;;;;;
19;7075;b;;GHG image number from exif camera data;;;;;;;
181;7085;g;;GHG image number from exif camera data;;;;;;;
31;7092;es;;GHG image number from exif camera data;;;;;;;
103;7090;ds;also mossy.;GHG image number from exif camera data;;;;;;;
109;7094;ds;;GHG image number from exif camera data;;;;;;;
25;7091;ds;lot of empetrum too. Betula is semi dead.;GHG image number from exif camera data;;;;;;;
193;7100;g;could be ds or maybe even b;GHG image number from exif camera data;;;;;;;
115;115;ds;;missing: used the 115 figure from co2 collars.;;;;;;;
37;7097;es;;GHG image number from exif camera data;;;;;;;
349;7145;es;could be ds;;;;;;;;
271;7144;b;;;;;;;;;
265;7143;g;;;;;;;;;
187;7142;es;or barren?;;;;;;;;
11224;7148;b;;;;;;;;;
433;7152;ds;could be es;;;;;;;;
511;7147;es;;;;;;;;;
595;7149;es;;;;;;;;;
11211;7162;es;;;;;;;;;
11212;7163;es;could also be p?;;;;;;;;
11209;7155;ds;;;;;;;;;
11210;7158;es;;;;;;;;;
11215;7185;g;also some es and ds. Pekka: ds;;;;;;;;
11214;7166;es;could also be barren;;;;;;;;
11216;7191;es;;;;;;;;;
11213;7164;b;;;;;;;;;
421;7197;es;;;;;;;;;
12201;7193;g;;;;;;;;;
739;7196;ds;could also be es;;;;;;;;
12203;7194;g;;;;;;;;;
577;7195;es;;;;;;;;;
199;7260;ds;could also be es;;;;;;;;
277;7261;es;;;;;;;;;
355;7266;g;;;;;;;;;
517;7268;es;;;;;;;;;
679;7310;es;;;;;;;;;
919;7311;ds;;;;;;;;;
757;7312;es;/7313;;;;;;;;
439;7308;ds;;;;;;;;;
913;7323;es;;;;;;;;;
11225;7319;g;tricky nivation again;;;;;;;;
835;7321;ds;;;;;;;;;
751;7324;es;could also be ds;;;;;;;;
12224;7327;w;;;;;;;;;
745;7334;es;;;;;;;;;
667;7335;es;;;;;;;;;
589;7336;b;;;;;;;;;
505;7337;es;or ds;;;;;;;;
823;7339;ds;;;;;;;;;
388;7343;w;;;;;;;;;
11220;7338;b;;;;;;;;;
427;7342;es;or ds or b;;;;;;;;
523;7520;g;;;;;;;;;
1123;7526;es;;;;;;;;;
1045;7527;es;;;;;;;;;
967;7531;g;;;;;;;;;
811;7535;g;;;;;;;;;
889;7532;es;;;;;;;;;
961;7523;g;;;;;;;;;
1159;7536;es;;;;;;;;;
12222;7538;g;;;;;;;;;
1075;7539;ds;;;;;;;;;
12223;7540;w;;;;;;;;;
11221;7541;b;;;;;;;;;
901;7543;es;;;;;;;;;
979;7544;g;/7545;;;;;;;;
895;7546;es;;;;;;;;;
1135;7573;g;;;;;;;;;
733;7577;es;;;;;;;;;
12202;7579;g;;;;;;;;;
607;7580;es;;;;;;;;;
12221;7934;w;;;;;;;;;
12220;7935;g;could also be w;;;;;;;;
12219;7936;g;;;;;;;;;
12218;7937;g;;;;;;;;;
12217;7938;w;;;;;;;;;
12216;7939;w;;;;;;;;;
12215;7940;w;;;;;;;;;
12205;7942;g;;;;;;;;;
12204;7941;g;;;;;;;;;
12207;7944;w;;;;;;;;;
12206;7943;g;;;;;;;;;
12208;7945;w;or barren w?;;;;;;;;
12210;7947;w;w because Sphagnum. Could also be g;;;;;;;;
12209;7946;w;or g?;;;;;;;;
12211;7948;w;;;;;;;;;
12213;7950;w;;;;;;;;;
12212;7949;w;or g?;;;;;;;;
12214;7951;w;;;;;;;;;
