"plot","image_nr","cavm","cavm.notes","image.notes","X","X.1","X.2","X.3","Classes","X.4","X.5"
583,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
187,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
349,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
499,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
517,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
571,NA,"ds",NA,NA,NA,NA,NA,NA,NA,NA,NA
11201,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
11202,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
11220,NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA
